Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	HCA_C_1 Spectral Count	HCA_C_2 Spectral Count	HCA_C_3 Spectral Count	HCA_I_1 Spectral Count	HCA_I_2 Spectral Count	HCA_I_3 Spectral Count	HCA_K_1 Spectral Count	HCA_K_2 Spectral Count	HCA_M_1 Spectral Count	HCA_M_2 Spectral Count	HIT_C_1 Spectral Count	HIT_C_2 Spectral Count	HIT_C_3 Spectral Count	HIT_I_1 Spectral Count	HIT_I_2 Spectral Count	HIT_I_3 Spectral Count	HIT_K_1 Spectral Count	HIT_K_2 Spectral Count	HIT_K_3 Spectral Count	HIT_M_1 Spectral Count	HIT_M_2 Spectral Count	HIT_M_3 Spectral Count	HCA_C_1 Unique Spectral Count	HCA_C_2 Unique Spectral Count	HCA_C_3 Unique Spectral Count	HCA_I_1 Unique Spectral Count	HCA_I_2 Unique Spectral Count	HCA_I_3 Unique Spectral Count	HCA_K_1 Unique Spectral Count	HCA_K_2 Unique Spectral Count	HCA_M_1 Unique Spectral Count	HCA_M_2 Unique Spectral Count	HIT_C_1 Unique Spectral Count	HIT_C_2 Unique Spectral Count	HIT_C_3 Unique Spectral Count	HIT_I_1 Unique Spectral Count	HIT_I_2 Unique Spectral Count	HIT_I_3 Unique Spectral Count	HIT_K_1 Unique Spectral Count	HIT_K_2 Unique Spectral Count	HIT_K_3 Unique Spectral Count	HIT_M_1 Unique Spectral Count	HIT_M_2 Unique Spectral Count	HIT_M_3 Unique Spectral Count	HCA_C_1 Total Spectral Count	HCA_C_2 Total Spectral Count	HCA_C_3 Total Spectral Count	HCA_I_1 Total Spectral Count	HCA_I_2 Total Spectral Count	HCA_I_3 Total Spectral Count	HCA_K_1 Total Spectral Count	HCA_K_2 Total Spectral Count	HCA_M_1 Total Spectral Count	HCA_M_2 Total Spectral Count	HIT_C_1 Total Spectral Count	HIT_C_2 Total Spectral Count	HIT_C_3 Total Spectral Count	HIT_I_1 Total Spectral Count	HIT_I_2 Total Spectral Count	HIT_I_3 Total Spectral Count	HIT_K_1 Total Spectral Count	HIT_K_2 Total Spectral Count	HIT_K_3 Total Spectral Count	HIT_M_1 Total Spectral Count	HIT_M_2 Total Spectral Count	HIT_M_3 Total Spectral Count	HCA_C_1 Intensity	HCA_C_2 Intensity	HCA_C_3 Intensity	HCA_I_1 Intensity	HCA_I_2 Intensity	HCA_I_3 Intensity	HCA_K_1 Intensity	HCA_K_2 Intensity	HCA_M_1 Intensity	HCA_M_2 Intensity	HIT_C_1 Intensity	HIT_C_2 Intensity	HIT_C_3 Intensity	HIT_I_1 Intensity	HIT_I_2 Intensity	HIT_I_3 Intensity	HIT_K_1 Intensity	HIT_K_2 Intensity	HIT_K_3 Intensity	HIT_M_1 Intensity	HIT_M_2 Intensity	HIT_M_3 Intensity	HCA_C_1 MaxLFQ Intensity	HCA_C_2 MaxLFQ Intensity	HCA_C_3 MaxLFQ Intensity	HCA_I_1 MaxLFQ Intensity	HCA_I_2 MaxLFQ Intensity	HCA_I_3 MaxLFQ Intensity	HCA_K_1 MaxLFQ Intensity	HCA_K_2 MaxLFQ Intensity	HCA_M_1 MaxLFQ Intensity	HCA_M_2 MaxLFQ Intensity	HIT_C_1 MaxLFQ Intensity	HIT_C_2 MaxLFQ Intensity	HIT_C_3 MaxLFQ Intensity	HIT_I_1 MaxLFQ Intensity	HIT_I_2 MaxLFQ Intensity	HIT_I_3 MaxLFQ Intensity	HIT_K_1 MaxLFQ Intensity	HIT_K_2 MaxLFQ Intensity	HIT_K_3 MaxLFQ Intensity	HIT_M_1 MaxLFQ Intensity	HIT_M_2 MaxLFQ Intensity	HIT_M_3 MaxLFQ Intensity	Indistinguishable Proteins
O95865|DDAH2_HUMAN	O95865	DDAH2_HUMAN	DDAH2	285	Homo sapiens	1:Experimental evidence at protein level	Putative hydrolase DDAH2	1.0	0.999	13	696	696	696	32	29	34	37	33	30	9	18	21	21	44	35	40	34	38	38	38	36	47	35	23	24	32	29	34	37	33	30	9	18	21	21	44	35	40	34	38	38	38	36	47	35	23	24	32	29	34	37	33	30	9	18	21	21	44	35	40	34	38	38	38	36	47	35	23	24	1430775.9	1612025.0	1561013.4	1602451.0	2047827.4	1861371.2	178697.6	797360.56	909687.6	944120.94	1825549.2	1916692.2	2110832.8	1514459.8	1934596.2	1353174.2	1669836.6	1438676.9	872825.1	949109.2	1194787.9	797254.5	316316.6	357831.1	423539.8	462324.16	451268.47	404774.9	373155.53	203458.16	224563.44	246706.67	437084.75	437475.25	521970.56	427530.47	475242.6	391280.16	465485.66	372524.12	259942.6	248294.2	305340.06	234982.9	
O95881|TXD12_HUMAN	O95881	TXD12_HUMAN	TXNDC12	172	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 12	1.0	0.999	7	118	118	118	1	2	1	0	6	3	2	12	8	9	9	3	4	6	7	6	8	6	9	5	7	4	1	2	1	0	6	3	2	12	8	9	9	3	4	6	7	6	8	6	9	5	7	4	1	2	1	0	6	3	2	12	8	9	9	3	4	6	7	6	8	6	9	5	7	4	76467.625	53206.21	29650.13	0.0	119973.81	57181.008	201983.38	406580.88	83979.94	140949.2	156179.5	109483.27	70811.28	260022.08	317164.75	303785.66	222234.69	700429.1	558063.44	458179.03	188140.67	178686.52	58631.156	41355.766	0.0	0.0	77182.29	44552.086	192733.7	205423.67	31165.434	49276.676	99520.164	67125.66	55565.887	121428.21	202333.73	174128.06	170339.55	429989.75	242512.64	262414.47	102138.73	129712.81	
O95967|FBLN4_HUMAN	O95967	FBLN4_HUMAN	EFEMP2	443	Homo sapiens	1:Experimental evidence at protein level	EGF-containing fibulin-like extracellular matrix protein 2	0.9983	0.999	2	6	6	6	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27029.762	39908.453	43578.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20170.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
O95980|RECK_HUMAN	O95980	RECK_HUMAN	RECK	971	Homo sapiens	1:Experimental evidence at protein level	Reversion-inducing cysteine-rich protein with Kazal motifs	1.0	0.999	4	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22905.04	22401.58	18676.424	9096.403	45974.88	57633.566	0.0	121930.99	90257.51	99553.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38829.25	39940.473	31052.332	0.0	29203.863	39397.09	0.0	17981.578	57765.117	26600.838	0.0	0.0	
O95989|NUDT3_HUMAN	O95989	NUDT3_HUMAN	NUDT3	172	Homo sapiens	1:Experimental evidence at protein level	Diphosphoinositol polyphosphate phosphohydrolase 1	1.0	0.999	3	42	42	42	0	0	0	0	0	0	5	2	1	1	3	5	3	2	2	1	4	4	3	5	0	1	0	0	0	0	0	0	5	2	1	1	3	5	3	2	2	1	4	4	3	5	0	1	0	0	0	0	0	0	5	2	1	1	3	5	3	2	2	1	4	4	3	5	0	1	0.0	0.0	0.0	0.0	26663.227	0.0	35683.65	30870.297	82054.59	111130.62	127718.74	42008.42	81131.28	35212.24	28468.68	48866.73	107190.21	139484.53	28441.91	114687.164	0.0	13881.389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68677.21	49533.72	57637.676	0.0	44772.246	29021.533	57083.707	68886.26	37827.516	50680.47	0.0	0.0	
O95999|BCL10_HUMAN	O95999	BCL10_HUMAN	BCL10	233	Homo sapiens	1:Experimental evidence at protein level	B-cell lymphoma/leukemia 10	0.9999	0.999	2	32	32	32	1	3	4	0	7	3	0	0	0	0	2	4	3	4	1	0	0	0	0	0	0	0	1	3	4	0	7	3	0	0	0	0	2	4	3	4	1	0	0	0	0	0	0	0	1	3	4	0	7	3	0	0	0	0	2	4	3	4	1	0	0	0	0	0	0	0	65580.13	115336.58	97190.48	0.0	132361.31	111832.32	0.0	0.0	0.0	0.0	59898.574	60886.67	44429.74	59710.652	53571.574	26729.514	0.0	11329.013	0.0	10806.834	0.0	0.0	45065.312	90973.086	84885.76	0.0	105141.71	94789.914	0.0	0.0	0.0	0.0	46157.523	39314.363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
O96005|CLPT1_HUMAN	O96005	CLPT1_HUMAN	CLPTM1	669	Homo sapiens	1:Experimental evidence at protein level	Putative lipid scramblase CLPTM1	0.9999	0.999	1	12	12	12	1	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57088.176	128551.97	59952.36	0.0	92776.89	74014.555	0.0	0.0	0.0	0.0	28401.947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32545.047	73105.59	32913.66	0.0	52723.047	41252.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
O96013|PAK4_HUMAN	O96013	PAK4_HUMAN	PAK4	591	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase PAK 4	0.8887	0.999	1	2	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23433.03	34014.016	28823.832	0.0	23697.01	22287.875	0.0	0.0	0.0	0.0	20438.951	17041.695	16163.671	0.0	11026.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	Homo sapiens	1:Experimental evidence at protein level	Actin-like protein 6A	1.0	0.999	8	46	45	46	0	0	0	0	1	1	0	0	4	3	2	2	1	0	1	5	1	7	7	5	4	2	0	0	0	0	1	1	0	0	4	3	2	2	1	0	1	5	0	7	7	5	4	2	0	0	0	0	1	1	0	0	4	3	2	2	1	0	1	5	1	7	7	5	4	2	0.0	36609.3	28332.889	0.0	33051.945	68353.5	0.0	0.0	130714.42	143085.56	70906.84	128504.56	56184.41	75502.73	148835.56	205223.47	4757.628	275190.4	227024.47	227674.3	84618.266	39516.06	0.0	0.0	0.0	0.0	0.0	45369.996	0.0	0.0	61357.645	66839.33	48288.004	47881.266	38087.375	22532.855	42569.49	50845.566	0.0	68974.82	68430.34	52828.79	61178.242	35985.742	
O96033|MOC2A_HUMAN	O96033	MOC2A_HUMAN	MOCS2	88	Homo sapiens	1:Experimental evidence at protein level	Molybdopterin synthase sulfur carrier subunit	1.0	0.999	3	25	25	25	0	0	1	0	1	1	0	0	0	0	2	5	2	0	1	4	0	2	4	1	0	1	0	0	1	0	1	1	0	0	0	0	2	5	2	0	1	4	0	2	4	1	0	1	0	0	1	0	1	1	0	0	0	0	2	5	2	0	1	4	0	2	4	1	0	1	36657.234	42668.805	34988.836	0.0	90683.38	58302.766	0.0	0.0	0.0	0.0	64078.38	58342.2	29329.574	0.0	61099.586	109492.14	0.0	35574.617	38843.305	34054.074	0.0	6166.8594	0.0	0.0	0.0	0.0	34477.918	0.0	0.0	0.0	0.0	0.0	24138.383	23155.764	28850.814	0.0	42783.25	71728.484	0.0	19934.488	40810.254	31803.55	0.0	0.0	
P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.999	4	9	9	9	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	51144.383	0.0	65254.83	0.0	106604.56	54115.484	0.0	0.0	0.0	0.0	45244.57	21386.617	18716.307	29659.254	36059.31	23027.46	0.0	30638.703	14126.824	35889.74	0.0	0.0	0.0	0.0	0.0	0.0	14860.292	0.0	0.0	0.0	0.0	0.0	40375.44	18237.285	15548.545	26434.2	32148.68	7524.7744	0.0	16588.832	0.0	17493.914	0.0	0.0	
P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1.0	0.999	33	2758	2552	2758	133	107	135	143	153	124	97	81	85	45	121	158	148	156	163	169	81	171	151	132	69	136	128	98	127	128	145	110	93	72	72	39	114	145	137	149	157	161	66	158	142	127	62	122	133	107	135	143	153	124	97	81	85	45	121	158	148	156	163	169	81	171	151	132	69	136	7767307.0	6569028.5	6130067.0	9596583.0	7942487.0	8564979.0	3980462.0	3647006.8	4129726.5	3716968.2	7598947.5	7754691.0	8470419.0	8319199.0	1.0367156E7	1.2081442E7	1.0247093E7	7781498.0	1.1027007E7	7522155.5	5602224.0	8412967.0	1432946.4	1209501.2	1285784.5	1682385.5	1509664.9	1472171.9	1552927.0	684487.6	826478.75	634425.44	1301488.6	1235970.5	1426769.6	1424658.4	1668377.6	1753260.0	1053067.1	1131401.9	1615110.5	1166668.4	787266.6	1606382.2	
P00352|AL1A1_HUMAN	P00352	AL1A1_HUMAN	ALDH1A1	501	Homo sapiens	1:Experimental evidence at protein level	Aldehyde dehydrogenase 1A1	1.0	0.999	28	1061	1061	1061	38	23	44	32	42	33	54	45	36	51	40	60	41	56	66	79	33	68	72	61	31	56	38	23	44	32	42	33	54	45	36	51	40	60	41	56	66	79	33	68	72	61	31	56	38	23	44	32	42	33	54	45	36	51	40	60	41	56	66	79	33	68	72	61	31	56	1604037.4	1134427.1	1488661.8	981545.94	2371568.2	1519421.9	833881.56	2219236.2	1621576.4	1455958.9	2050832.8	2608566.8	2190135.2	2905145.5	3360036.8	3591850.8	1603407.1	3262602.5	2594613.8	3440138.8	1415116.0	1962477.8	271987.75	190484.14	228396.2	176943.6	330796.6	234266.62	231982.7	302457.47	219927.03	188458.55	265045.75	318079.1	274689.06	450227.9	420138.7	408178.62	308084.8	355803.25	278627.47	357334.75	266486.1	282462.56	
P00367|DHE3_HUMAN	P00367	DHE3_HUMAN	GLUD1	558	Homo sapiens	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	24	407	91	407	39	12	24	9	14	16	5	2	3	2	33	27	31	23	26	25	12	22	19	24	21	18	10	2	7	0	5	5	0	1	0	0	11	8	11	5	3	3	2	3	2	4	9	0	39	12	24	9	14	16	5	2	3	2	33	27	31	23	26	25	12	22	19	24	21	18	1148215.5	671732.8	599442.3	114468.9	663100.56	602558.56	51148.414	53761.33	49721.145	51158.582	898936.94	957726.3	799048.6	640236.1	669946.3	569247.8	314181.53	559729.06	553047.94	573798.7	341997.7	204262.72	135828.6	81060.48	100247.03	102249.74	67930.44	63228.31	64481.105	42034.83	0.0	0.0	97446.06	103441.54	90393.266	71556.96	72564.914	63679.492	72491.85	63614.535	71840.53	73692.8	63768.695	67700.96	
P00387|NB5R3_HUMAN	P00387	NB5R3_HUMAN	CYB5R3	301	Homo sapiens	1:Experimental evidence at protein level	NADH-cytochrome b5 reductase 3	1.0	0.999	4	21	21	21	0	0	0	0	0	0	0	0	0	0	0	1	2	4	3	2	0	2	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	4	3	2	0	2	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	4	3	2	0	2	3	3	0	1	0.0	0.0	0.0	0.0	4915.1567	0.0	0.0	0.0	0.0	0.0	30624.086	66507.67	43086.246	88202.77	85865.914	77971.5	0.0	67262.83	74385.82	65983.77	0.0	23661.668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19241.715	23240.33	26683.627	31704.467	30285.73	38366.22	0.0	21923.906	26229.184	22853.277	0.0	0.0	
P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	Homo sapiens	1:Experimental evidence at protein level	Glutathione reductase, mitochondrial	1.0	0.999	22	558	558	558	24	28	46	22	37	33	9	23	20	13	22	23	20	35	29	27	16	28	38	24	16	25	24	28	46	22	37	33	9	23	20	13	22	23	20	35	29	27	16	28	38	24	16	25	24	28	46	22	37	33	9	23	20	13	22	23	20	35	29	27	16	28	38	24	16	25	1044654.44	1470645.9	1140910.1	870718.56	1449375.6	1231010.6	161599.11	753662.06	707706.06	691071.7	780679.06	771553.4	723393.5	978990.94	935907.9	816825.44	783820.25	759115.06	814161.8	792812.06	636667.8	645722.7	181727.88	244768.52	195734.58	184648.66	234502.62	210250.0	251788.05	139757.1	163162.81	171780.9	141510.81	131557.77	135562.6	175593.36	144695.45	113206.68	177156.73	125564.74	107086.51	125003.516	133600.86	175069.75	
P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	1.0	0.999	15	1181	1181	1181	63	68	64	72	90	39	39	25	22	22	55	53	47	91	70	87	21	62	53	71	31	36	63	68	64	72	90	39	39	25	22	22	55	53	47	91	70	87	21	62	53	71	31	36	63	68	64	72	90	39	39	25	22	22	55	53	47	91	70	87	21	62	53	71	31	36	5300333.5	8544629.0	7572591.0	5528368.5	6693181.0	5901046.0	1903220.9	2865220.5	2239836.0	2308577.2	4139375.2	3932147.2	3584772.5	4683171.5	3999882.0	3512257.0	2811138.5	4873932.5	3214560.5	3992542.8	2385171.5	3208556.0	2182597.5	3423211.2	2705399.8	2848884.5	2373839.8	2324161.2	1291528.5	947171.6	987268.4	1012875.5	1553045.8	2044988.1	1905812.5	2232848.0	2108362.0	1889537.0	1607715.2	1633040.9	1429887.9	1600878.1	946560.5	1231071.9	
P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	Homo sapiens	1:Experimental evidence at protein level	Ceruloplasmin	1.0	0.999	9	49	49	49	8	0	1	0	8	15	0	1	0	0	0	6	0	0	0	0	0	10	0	0	0	0	8	0	1	0	8	15	0	1	0	0	0	6	0	0	0	0	0	10	0	0	0	0	8	0	1	0	8	15	0	1	0	0	0	6	0	0	0	0	0	10	0	0	0	0	210366.67	162199.08	76547.15	0.0	226619.64	309281.94	0.0	19018.54	0.0	0.0	32677.207	151563.7	5992.081	8187.179	31903.094	15760.697	0.0	282468.66	0.0	0.0	0.0	0.0	56982.082	53857.45	30715.496	0.0	50102.895	88496.02	0.0	0.0	0.0	0.0	16088.977	64649.523	0.0	0.0	20479.893	10059.736	0.0	60316.797	0.0	0.0	0.0	0.0	
P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	Homo sapiens	1:Experimental evidence at protein level	Coagulation factor XIII A chain	0.8905	0.999	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1453.7225	0.0	0.0	2375.3484	0.0	15706.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	Homo sapiens	1:Experimental evidence at protein level	Purine nucleoside phosphorylase	1.0	0.999	26	1594	1594	1594	64	65	97	67	89	93	50	48	39	43	89	78	82	79	101	100	50	92	80	82	48	58	64	65	97	67	89	93	50	48	39	43	89	78	82	79	101	100	50	92	80	82	48	58	64	65	97	67	89	93	50	48	39	43	89	78	82	79	101	100	50	92	80	82	48	58	4537960.5	3093794.0	3298877.0	5067634.5	5994507.0	5546261.0	2849359.5	1449372.1	1707418.8	2046062.9	4418478.5	3502677.5	3341960.8	4934145.5	5143574.0	3968117.0	2900039.5	3402049.2	2165755.0	2516920.0	2389371.5	2198584.8	709000.06	519181.5	561298.5	903156.2	889024.5	846460.5	666380.4	286318.66	364203.56	401660.84	646159.06	511473.06	508654.28	669222.9	786487.2	614016.0	509547.5	458206.94	370799.94	391452.97	397139.78	486921.25	
P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	Homo sapiens	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase	1.0	0.999	12	413	413	413	15	22	13	25	23	19	9	20	8	10	27	23	21	21	25	26	9	15	20	25	15	22	15	22	13	25	23	19	9	20	8	10	27	23	21	21	25	26	9	15	20	25	15	22	15	22	13	25	23	19	9	20	8	10	27	23	21	21	25	26	9	15	20	25	15	22	579321.75	728207.8	493193.94	591473.0	910216.56	930669.9	209698.03	201745.05	275061.1	276166.38	872485.75	826178.25	953783.8	786948.56	1155397.2	1170343.2	485111.0	632059.06	704026.94	650741.5	503947.12	428751.9	117387.195	129836.61	120896.22	157113.28	198157.45	192454.75	151882.38	55213.08	92840.18	93560.836	171602.53	172875.0	186783.08	179728.72	219423.92	212910.52	159797.14	130152.83	112158.734	109844.836	114558.49	92766.555	
P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	Homo sapiens	1:Experimental evidence at protein level	Aspartate aminotransferase, mitochondrial	1.0	0.999	29	1233	1233	1233	72	38	68	53	55	57	70	28	28	35	65	64	74	43	45	54	52	56	91	74	47	64	72	38	68	53	55	57	70	28	28	35	65	64	74	43	45	54	52	56	91	74	47	64	72	38	68	53	55	57	70	28	28	35	65	64	74	43	45	54	52	56	91	74	47	64	4503794.5	3506127.5	4062292.8	1935567.6	2576737.5	2601414.2	1984346.0	1477378.1	1716814.4	2271153.5	3506651.0	3032316.0	3103908.8	1559628.8	1515812.6	1462655.9	2434279.2	2687005.5	3031191.0	2481109.5	2288052.5	3321534.5	655858.75	472588.84	589801.1	321723.28	372126.84	365399.8	569202.9	275983.3	268927.5	335528.16	499954.9	445420.94	487497.12	232911.53	242453.64	245361.56	428560.97	439564.16	462071.22	437433.72	415303.88	458246.03	
P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	1.0	0.999	42	3452	3108	3452	183	150	212	185	203	207	110	94	134	96	196	154	177	166	171	187	131	164	142	133	120	137	170	133	179	173	183	185	87	84	124	88	179	138	163	153	155	168	112	151	126	121	110	126	183	150	212	185	203	207	110	94	134	96	196	154	177	166	171	187	131	164	142	133	120	137	1.5611214E7	1.2569538E7	1.6405052E7	1.3534523E7	1.7935516E7	1.9348008E7	5299134.5	5105502.0	7200611.0	6084562.5	1.4664988E7	1.3727555E7	1.5914838E7	1.4599696E7	1.5430648E7	1.4162058E7	1.1174737E7	1.3741238E7	1.0131485E7	1.1352798E7	7657956.0	1.007232E7	1938992.1	1661164.8	2006805.8	1693588.8	2147214.0	2336616.8	1079386.8	739559.6	1005072.9	814758.2	1702000.5	1605679.6	1855654.5	1460256.5	1618897.1	1639167.4	1231455.0	1465506.5	1135239.0	1200860.2	987091.8	1040585.3	
P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	Homo sapiens	1:Experimental evidence at protein level	Adenylate kinase isoenzyme 1	1.0	0.999	12	360	338	360	12	13	16	12	15	14	20	4	19	6	16	14	24	10	26	31	15	21	18	23	8	23	9	12	16	11	14	13	20	4	18	3	14	13	23	10	24	29	13	21	18	23	7	23	12	13	16	12	15	14	20	4	19	6	16	14	24	10	26	31	15	21	18	23	8	23	377376.1	348798.4	353754.3	289499.44	501738.53	479847.03	410067.56	231196.67	411765.62	395051.62	583480.25	588980.2	746565.5	492458.06	876488.2	829756.94	440221.28	444991.8	547920.06	395695.3	494916.25	366729.4	84537.234	93314.3	78776.93	112904.445	128406.48	108583.05	149706.72	85802.914	139820.9	123004.78	137706.17	132270.12	156314.39	90430.85	190822.72	171612.56	108442.74	111385.62	136742.53	102199.71	157580.08	100268.19	
P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	Homo sapiens	1:Experimental evidence at protein level	Prothrombin	1.0	0.999	8	60	60	60	2	0	0	0	0	0	0	2	7	6	1	0	0	1	0	1	0	1	0	13	7	19	2	0	0	0	0	0	0	2	7	6	1	0	0	1	0	1	0	1	0	13	7	19	2	0	0	0	0	0	0	2	7	6	1	0	0	1	0	1	0	1	0	13	7	19	25003.78	23534.057	0.0	0.0	32169.693	21381.219	0.0	40700.12	495875.1	400423.28	22428.836	26277.098	24851.521	26293.42	19961.77	43225.26	0.0	81965.45	27280.312	325788.84	625859.0	559379.8	0.0	0.0	0.0	0.0	22155.326	0.0	0.0	91652.55	207245.94	174548.83	0.0	0.0	0.0	0.0	15732.08	25547.594	0.0	57583.008	22136.87	115499.93	167609.81	230873.44	
P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	Homo sapiens	1:Experimental evidence at protein level	Haptoglobin	1.0	0.999	21	152	83	152	25	14	0	4	13	26	2	33	1	1	0	29	0	0	1	0	0	3	0	0	0	0	17	6	0	4	6	13	0	20	1	0	0	16	0	0	0	0	0	0	0	0	0	0	25	14	0	4	13	26	2	33	1	1	0	29	0	0	1	0	0	3	0	0	0	0	1715313.1	2867230.0	184507.02	69699.43	1678737.8	1683464.9	28294.047	1651242.5	81653.44	212735.14	765259.5	1865866.8	817310.94	1149633.2	1163341.4	1060472.1	0.0	1122294.8	6350.7437	1813.5417	0.0	0.0	1209659.9	1354436.9	380345.44	335026.97	643658.0	1235682.8	0.0	1646538.0	0.0	534988.5	207328.14	1295943.1	232992.83	204498.27	343686.62	155849.48	0.0	261502.58	0.0	0.0	0.0	0.0	
P00740|FA9_HUMAN	P00740	FA9_HUMAN	F9	461	Homo sapiens	1:Experimental evidence at protein level	Coagulation factor IX	0.9999	0.999	2	15	15	15	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	2	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238943.75	273673.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123013.414	50293.348	390384.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96730.26	0.0	244607.5	
